Symbol,Sectors,#,Company,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF
A,['Technology'],271,Agilent Technologies,"0,0006","118,81","Agilent Technologies, Inc.",34984052025.0,6788000000.0,1444000000.0,1220000000.0,4.27,1088000000.0
AAPL,['Technology'],3,"Apple Inc,","0,0597","233,28",Apple Inc.,3791126029400.0,408625000000.0,130214000000.0,99280000000.0,6.59,96184000000.0
ABBV,['Healthcare'],23,AbbVie,"0,0062","204,9",AbbVie Inc.,389720416194.0,58328000000.0,10968000000.0,3763000000.0,2.1,18239000000.0
ABNB,['Technology'],140,Airbnb,"0,0013","124,93","Airbnb, Inc.",77067091570.0,11580000000.0,2605000000.0,2625000000.0,4.13,4308000000.0
ABT,['Healthcare'],37,Abbott Laboratories,"0,0039","129,5",Abbott Laboratories,232438301320.0,43109000000.0,7515000000.0,13979000000.0,7.97,6775000000.0
ACGL,['Finance'],267,Arch Capital Group,"0,0006","91,26",Arch Capital Group Ltd.,33918260410.0,19156000000.0,4293000000.0,3694000000.0,9.68,6127000000.0
ACN,['Technology'],66,Accenture,"0,0026","245,75",Accenture plc,148843181410.0,68482536000.0,10529641000.0,7948771000.0,12.57,10243923000.0
ADBE,['Technology'],72,"Adobe Inc,","0,0026","349,03",Adobe Inc.,150851966353.0,23181000000.0,8402000000.0,6957000000.0,16.04,9599000000.0
ADI,['Technology'],93,Analog Devices,"0,002","234,79","Analog Devices, Inc.",122737701350.0,10386795000.0,2556677000.0,1957676000.0,3.92,3737292000.0
ADM,['Industrials'],302,Archer Daniels Midland,"0,0005","59,2",Archer-Daniels-Midland Company,29116147670.0,82776000000.0,887000000.0,1099000000.0,2.27,4109000000.0
ADP,"['Technology', 'Finance']",89,Automatic Data Processing,"0,0021","303,25","Automatic Data Processing, Inc.",118086236220.0,20560900000.0,5411900000.0,4079700000.0,9.98,4403500000.0
ADSK,['Technology'],169,Autodesk,"0,001","283,6","Autodesk, Inc.",69256729044.0,6605000000.0,1389000000.0,1043000000.0,4.82,1884000000.0
AEE,['Public Services'],308,Ameren,"0,0005","101,5",Ameren Corporation,27608852628.0,8432000000.0,1625000000.0,1227000000.0,4.57,-1623000000.0
AEP,['Public Services'],171,American Electric Power,"0,001","112,79","American Electric Power Company, Inc.",58367500434.0,20666700000.0,5130400000.0,3649700000.0,6.83,-3520200000.0
AES,"['Energy', 'Public Services']",486,AES Corporation,"0,0002","12,91",The AES Corporation,9427536227.0,12032000000.0,1370000000.0,1013000000.0,1.42,-2551000000.0
AFL,['Finance'],186,Aflac,"0,001","105,05",Aflac Incorporated,59558834726.0,15910000000.0,3396000000.0,2437000000.0,4.39,2591000000.0
AIG,['Finance'],226,American International Group,"0,0008","80,14","American International Group, Inc.",43201220223.0,27802000000.0,5120000000.0,3199000000.0,5.16,3159000000.0
AIZ,['Finance'],466,Assurant,"0,0002","212,67","Assurant, Inc.",10880015076.0,12304900000.0,981200000.0,717000000.0,13.8,968800000.0
AJG,['Finance'],146,"Arthur J, Gallagher & Co,","0,0013","292,59",Arthur J. Gallagher & Co.,77983794781.0,12471000000.0,2784100000.0,1641100000.0,6.61,1971800000.0
AKAM,['Technology'],467,Akamai Technologies,"0,0002","74,25","Akamai Technologies, Inc.",10904469404.0,4083251000.0,524741000.0,424601000.0,2.82,678914000.0
ALB,['Industrials'],481,Albemarle Corporation,"0,0002","81,27",Albemarle Corporation,10367866309.0,4993278000.0,-1037140000.0,-1096204000.0,-9.32,-128851000.0
ALGN,"['Healthcare', 'Technology']",471,Align Technology,"0,0002","143,07","Align Technology, Inc.",9147054778.0,3964802000.0,600580000.0,437608000.0,5.93,631537000.0
ALL,['Finance'],193,Allstate,"0,0009","208,18",The Allstate Corporation,56063394862.0,66218000000.0,15906000000.0,5705000000.0,21.28,8539000000.0
ALLE,['Industrials'],427,Allegion,"0,0002","167,77",Allegion plc,15023999465.0,3876600000.0,815700000.0,626200000.0,7.21,682300000.0
AMAT,"['Technology', 'Industrials']",68,Applied Materials,"0,0026","189,94","Applied Materials, Inc.",162459666693.0,28613000000.0,8623000000.0,6832000000.0,8.39,5823000000.0
AMCR,['Industrials'],371,Amcor,"0,0003","8,77",Amcor plc,18544150410.0,15009000000.0,956000000.0,511000000.0,0.32,828000000.0
AMD,['Technology'],28,Advanced Micro Devices,"0,005","180,39","Advanced Micro Devices, Inc.",258778654648.0,29600000000.0,2267000000.0,2834000000.0,1.74,4043000000.0
AME,['Industrials'],235,Ametek,"0,0007","184,86","AMETEK, Inc.",43045199065.0,6980193000.0,1831287000.0,1437623000.0,6.21,1683675000.0
AMGN,['Healthcare'],65,Amgen,"0,0027","290,25",Amgen Inc.,146962018086.0,34917000000.0,8192000000.0,6619000000.0,12.23,10605000000.0
AMP,['Finance'],210,Ameriprise Financial,"0,0008","514,7","Ameriprise Financial, Inc.",47068849689.0,17627000000.0,4361000000.0,3225000000.0,32.13,6700000000.0
AMT,"['Technology', 'Industrials']",115,American Tower,"0,0016","203,03",American Tower Corporation,90967165481.0,10259600000.0,4671100000.0,1292800000.0,2.76,3741100000.0
AMZN,['Technology'],4,Amazon,"0,0427","232,14","Amazon.com, Inc.",2343934380679.0,670038000000.0,76190000000.0,70623000000.0,6.56,51349000000.0
ANET,['Technology'],61,Arista Networks,"0,003","136,51",Arista Networks Inc,179103316793.0,7950972000.0,3429902000.0,3251534000.0,2.55,3975342000.0
AON,['Finance'],136,Aon,"0,0014","365,94",Aon plc,76780318660.0,16752000000.0,4034000000.0,2603000000.0,11.95,2912000000.0
AOS,['Industrials'],475,"A, O, Smith","0,0002","72,36",A. O. Smith Corporation,10152387564.0,3790200000.0,687800000.0,518600000.0,3.6,494600000.0
APA,['Energy'],499,APA Corporation,"0,0001","20,48",APA Corporation,8833747697.0,10266000000.0,2151000000.0,1081000000.0,3.01,1570000000.0
APD,['Industrials'],163,Air Products,"0,0011","290,53","Air Products and Chemicals, Inc.",59372860079.0,12057900000.0,-112300000.0,1550500000.0,6.95,-4627500000.0
APH,['Industrials'],84,Amphenol,"0,0023","110,5",Amphenol Corporation,149684928209.0,18817900000.0,4216800000.0,3179700000.0,2.51,2825400000.0
APO,['Finance'],132,Apollo Global Management,"0,0014","140,17","Apollo Global Management, Inc.",78728039538.0,25418000000.0,6093000000.0,3272000000.0,5.35,4124000000.0
APTV,['Industrials'],413,Aptiv,"0,0003","74,15",Aptiv PLC,18775250904.0,19794000000.0,1916000000.0,1013000000.0,4.43,1663000000.0
ARE,['Public Services'],441,Alexandria Real Estate Equities,"0,0002","74,36","Alexandria Real Estate Equities, Inc.",14500896160.0,3100750000.0,515476000.0,-21458000.0,-0.13,462256000.0
ATO,['Public Services'],317,Atmos Energy,"0,0005","166,09",Atmos Energy Corporation,27040195535.0,4623219000.0,1525486000.0,1157879000.0,7.24,-1373760000.0
AVB,['Industrials'],315,AvalonBay Communities,"0,0005","189,28","AvalonBay Communities, Inc.",27744755667.0,2980931000.0,899380000.0,1159873000.0,8.13,-460496000.0
AVGO,['Technology'],6,Broadcom,"0,0252","310,59",Broadcom Inc.,1571700874026.0,59926000000.0,22603000000.0,18932000000.0,3.92,24930000000.0
AVY,['Industrials'],435,Avery Dennison,"0,0002","177,25",Avery Dennison Corporation,12535541236.0,8737900000.0,1120800000.0,711000000.0,8.92,618000000.0
AWK,['Public Services'],306,American Water Works,"0,0005","142,99","American Water Works Company, Inc.",26603640460.0,4942000000.0,2134000000.0,1083000000.0,5.55,-1058000000.0
AXON,['Technology'],176,Axon Enterprise,"0,001","751,82","Axon Enterprise, Inc.",55647087250.0,2391590000.0,-1503000.0,326306000.0,4.06,176455000.0
AXP,['Finance'],42,American Express,"0,0037","306,47",American Express Company,237769039321.0,63435000000.0,12840000000.0,10146000000.0,14.25,11095000000.0
AZO,"['Industrials', 'Technology']",159,AutoZone,"0,0012","4002,28","AutoZone, Inc.",70227584461.0,18901372000.0,3710771000.0,2563504000.0,147.61,2002423000.0
BA,['Industrials'],57,Boeing,"0,003","232,6",The Boeing Company,167307451596.0,75327000000.0,-9351000000.0,-10913000000.0,-16.5,-8521000000.0
BAC,['Finance'],25,Bank of America,"0,0061","47,6",Bank of America Corporation,386716719160.0,104521000000.0,36302000000.0,26594000000.0,3.41,-22678000000.0
BALL,['Industrials'],426,Ball Corporation,"0,0003","53,64",Ball Corporation,13465927325.0,12397000000.0,978000000.0,556000000.0,2.08,376000000.0
BAX,"['Healthcare', 'Industrials']",446,Baxter International,"0,0002","24,37",Baxter International Inc.,11289390921.0,10887000000.0,-31000000.0,-155000000.0,-0.3,333000000.0
BBY,['Industrials'],421,Best Buy,"0,0003","72,08","Best Buy Co., Inc.",15999211330.0,41598000000.0,1037000000.0,778000000.0,3.63,1352000000.0
BDX,['Healthcare'],191,Becton Dickinson,"0,001","194,45","Becton, Dickinson and Company",52911430777.0,21386000000.0,2506000000.0,1585000000.0,5.48,2550000000.0
BEN,['Finance'],437,Franklin Resources,"0,0002","25,62","Franklin Resources, Inc.",12081678703.0,8638200000.0,368000000.0,322600000.0,0.52,1451900000.0
BG,['Energy'],410,Bunge Global,"0,0003","81,48",Bunge Global SA,16399083615.0,50862000000.0,1502000000.0,1378000000.0,9.91,-536000000.0
BIIB,['Healthcare'],379,Biogen,"0,0003","134,71",Biogen Inc.,20140447327.0,9997000000.0,1797700000.0,1530500000.0,10.46,1832300000.0
BK,['Finance'],147,BNY Mellon,"0,0013","103,65",The Bank of New York Mellon Corporation,77245026576.0,19315000000.0,6928000000.0,4780000000.0,6.55,2380000000.0
BKNG,['Technology'],55,Booking Holdings,"0,0031","5476,99",Booking Holdings Inc.,179810041980.0,25025000000.0,8220000000.0,4813000000.0,144.08,9240000000.0
BKR,"['Energy', 'Industrials']",236,Baker Hughes,"0,0007","43,07",Baker Hughes Company,49806613344.0,27609000000.0,3228000000.0,3048000000.0,3.06,2341000000.0
BLDR,['Industrials'],420,Builders FirstSource,"0,0003","137,97","Builders FirstSource, Inc.",13066647244.0,15944360000.0,1227897000.0,756362000.0,6.61,1211954000.0
BLK,['Finance'],53,BlackRock,"0,0031","1157,73","BlackRock, Inc.",179080141574.0,21573000000.0,7510000000.0,6404000000.0,41.37,3884000000.0
BMY,['Healthcare'],112,Bristol Myers Squibb,"0,0017","47,85",Bristol-Myers Squibb Company,89803429173.0,47704000000.0,6593000000.0,5049000000.0,2.48,14578000000.0
BR,['Technology'],294,Broadridge Financial Solutions,"0,0005","259,78","Broadridge Financial Solutions, Inc.",27642519520.0,6889100000.0,1188600000.0,839500000.0,7.1,1127500000.0
BRO,['Finance'],289,Brown & Brown,"0,0005","94,94","Brown & Brown, Inc.",30932658909.0,5058000000.0,1535000000.0,1006000000.0,3.47,1286000000.0
BSX,['Healthcare'],67,Boston Scientific,"0,0026","103,21",Boston Scientific Corporation,145478375426.0,18494000000.0,3151000000.0,2505000000.0,1.68,3496000000.0
BX,['Finance'],82,"Blackstone Inc,","0,0023","174,18",Blackstone Inc.,210396040627.0,13747117000.0,7004675000.0,2863804000.0,3.71,3280279000.0
BXP,['Public Services'],473,"BXP, Inc,","0,0002","65,01","BXP, Inc.",11849656032.0,3451470000.0,1028026000.0,4928000.0,0.03,49737000.0
C,['Finance'],59,Citigroup,"0,003","94,93",Citigroup Inc.,190385660611.0,83160000000.0,18859000000.0,14177000000.0,6.76,-93622000000.0
CAG,['Industrials'],485,Conagra Brands,"0,0002","19,4","Conagra Brands, Inc.",8695609534.0,11612800000.0,1420000000.0,1152400000.0,2.4,1306000000.0
CAH,['Healthcare'],259,Cardinal Health,"0,0006","151,04","Cardinal Health, Inc.",36705450287.0,222578000000.0,2316000000.0,1561000000.0,6.45,1850000000.0
CARR,['Industrials'],189,Carrier Global,"0,001","65,77",Carrier Global Corporation,50074183729.0,22463000000.0,2443000000.0,4001000000.0,4.45,547000000.0
CAT,"['Industrials', 'Energy']",49,"Caterpillar Inc,","0,0034","416,33",Caterpillar Inc.,218198743176.0,63139000000.0,11510000000.0,9437000000.0,19.64,8485000000.0
CB,['Finance'],98,Chubb Limited,"0,0019","275,26",Chubb Limited,111908378342.0,57213000000.0,12236000000.0,9198000000.0,22.66,14000000000.0
CBOE,['Finance'],321,Cboe Global Markets,"0,0004","243,99","Cboe Global Markets, Inc.",25469788458.0,4531800000.0,1298900000.0,896300000.0,8.52,-113100000.0
CBRE,['Industrials'],214,CBRE Group,"0,0008","158,25","CBRE Group, Inc.",47013583350.0,38104000000.0,1464000000.0,1090000000.0,3.57,727000000.0
CCI,"['Technology', 'Public Services']",231,Crown Castle,"0,0008","100,47",Crown Castle Inc.,41504651514.0,5422000000.0,-2934000000.0,-4638000000.0,-10.67,2396000000.0
CCL,['Industrials'],239,Carnival,"0,0007","30,23",Carnival Corporation & plc,39699613780.0,25972000000.0,4216000000.0,2525000000.0,1.85,3176000000.0
CDNS,['Technology'],117,Cadence Design Systems,"0,0016","347,53","Cadence Design Systems, Inc.",95401473900.0,5089287000.0,1410248000.0,1011951000.0,3.7,1585090000.0
CDW,['Technology'],361,CDW,"0,0004","165,08",CDW Corporation,21542454656.0,21878300000.0,1671800000.0,1076700000.0,8.05,1018900000.0
CEG,['Energy'],105,Constellation Energy,"0,0018","328,25",Constellation Energy Corporation,103487472100.0,24821000000.0,3841000000.0,3009000000.0,9.59,-2486000000.0
CF,['Industrials'],436,CF Industries,"0,0002","85,16","CF Industries Holdings, Inc.",14922568344.0,6447000000.0,1897000000.0,1302000000.0,7.65,1800000000.0
CFG,['Finance'],365,Citizens Financial Group,"0,0004","48,96","Citizens Financial Group, Inc.",23025409620.0,7208000000.0,2000000000.0,1453000000.0,3.29,1157000000.0
CHD,['Industrials'],355,Church & Dwight,"0,0004","92,62","Church & Dwight Co., Inc.",21120873857.0,6066000000.0,722200000.0,525200000.0,2.12,930600000.0
CHRW,['Industrials'],429,"C,H, Robinson","0,0002","121,32","C.H. Robinson Worldwide, Inc.",15565596063.0,17012580000.0,756690000.0,534308000.0,4.4,640926000.0
CHTR,['Public Services'],260,Charter Communications,"0,0006","262,72","Charter Communications, Inc.",37343975026.0,55222000000.0,13240000000.0,5264000000.0,36.53,5213000000.0
CI,['Finance'],137,Cigna,"0,0013","290,17",The Cigna Group,76386807223.0,262023000000.0,9026000000.0,5018000000.0,18.26,3944000000.0
CINF,['Finance'],341,Cincinnati Financial,"0,0004","154,13",Cincinnati Financial Corporation,24535460612.0,11672000000.0,2299000000.0,1820000000.0,11.53,2588000000.0
CL,['Energy'],156,Colgate-Palmolive,"0,0012","84,66",Colgate-Palmolive Company,64326294666.0,19999000000.0,4284000000.0,2909000000.0,3.56,3370000000.0
CLX,['Industrials'],423,Clorox,"0,0003","121,3",The Clorox Company,15214068007.0,7104000000.0,1284000000.0,810000000.0,6.52,761000000.0
CMCSA,['Public Services'],90,Comcast,"0,0021","32,98",Comcast Corporation,116817214668.0,124184000000.0,22505000000.0,22904000000.0,6.05,16578000000.0
CME,['Finance'],110,CME Group,"0,0017","275,27",CME Group Inc.,97402706912.0,6444000000.0,4208600000.0,3721400000.0,10.33,4107400000.0
CMG,['Industrials'],180,Chipotle Mexican Grill,"0,001","42,65","Chipotle Mexican Grill, Inc.",53742670800.0,11577532000.0,1927295000.0,1541878000.0,1.12,1485974000.0
CMI,['Industrials'],190,Cummins,"0,001","404,85",Cummins Inc.,57600075326.0,33720000000.0,3724000000.0,2941000000.0,21.31,1652000000.0
CMS,"['Energy', 'Public Services']",360,CMS Energy,"0,0004","72,43",CMS Energy Corporation,21504259518.0,8017000000.0,2099000000.0,1013000000.0,3.39,-1375000000.0
CNC,['Healthcare'],438,Centene Corporation,"0,0002","26,91",Centene Corporation,17120896380.0,178190000000.0,1916000000.0,2054000000.0,4.1,1080000000.0
CNP,['Public Services'],329,CenterPoint Energy,"0,0004","38,36","CenterPoint Energy, Inc.",25337685915.0,8982000000.0,1973000000.0,936000000.0,1.43,-3028000000.0
COF,['Finance'],78,Capital One,"0,0024","219,68",Capital One Financial Corporation,143283852409.0,23773000000.0,-523000000.0,-301000000.0,1.95,18224000000.0
COIN,['Finance'],131,Coinbase Global,"0,0014","323,33","Coinbase Global, Inc.",80316301310.0,7008333000.0,1884738000.0,2860612000.0,10.38,1806909000.0
COO,['Finance'],425,Cooper Companies (The),"0,0003","73,28","The Cooper Companies, Inc.",13476356858.0,4045700000.0,740900000.0,407800000.0,2.04,411900000.0
COP,['Energy'],91,ConocoPhillips,"0,0021","95,41",ConocoPhillips,122995838787.0,60182000000.0,14845000000.0,9185000000.0,7.45,6923000000.0
COR,['Healthcare'],181,Cencora,"0,001","293,08","Cencora, Inc.",59520509467.0,316654371000.0,2733191000.0,1897255000.0,9.74,1141589000.0
COST,['Industrials'],19,Costco,"0,0075","981,28",Costco Wholesale Corporation,406202758150.0,268776000000.0,10084000000.0,7843000000.0,17.63,7317000000.0
CPAY,['Industrials'],357,Corpay,"0,0004","318,38","Corpay, Inc.",20951287436.0,4171325000.0,1863372000.0,1049753000.0,14.72,1928262000.0
CPB,['Industrials'],479,Campbell Soup Company,"0,0002","32,34",The Campbell's Company,9559850875.0,10253000000.0,1124000000.0,602000000.0,2.01,705000000.0
CPRT,['Industrials'],220,Copart,"0,0008","46,96","Copart, Inc.",43386427922.0,4646958000.0,1696714000.0,1552449000.0,1.59,1262591000.0
CPT,['Public Services'],458,Camden Property Trust,"0,0002","105,93",Camden Property Trust,11433241789.0,1585409000.0,341588000.0,155979000.0,1.43,138884000.0
CRL,['Technology'],498,Charles River Laboratories,"0,0001",154,"Charles River Laboratories International, Inc.",7311258284.0,4028615000.0,124521000.0,-69225000.0,-1.28,578495000.0
CRM,['Technology'],39,Salesforce,"0,0039","233,82","Salesforce, Inc.",233086216988.0,39502000000.0,7987000000.0,6663000000.0,6.89,12497000000.0
CRWD,['Technology'],102,CrowdStrike,"0,0018","423,96","CrowdStrike Holdings, Inc.",119258922682.0,4341102000.0,-378659000.0,-296986000.0,-1.19,1037934000.0
CSCO,['Technology'],31,Cisco,"0,0047","69,42","Cisco Systems, Inc.",265733899181.0,56654000000.0,11760000000.0,10180000000.0,2.55,13288000000.0
CSGP,['Technology'],253,CoStar Group,"0,0006","87,93","CoStar Group, Inc.",35582393904.0,2915500000.0,-6300000.0,104200000.0,0.25,1000000.0
CSX,['Industrials'],157,CSX Corporation,"0,0012","36,27",CSX Corporation,63404061246.0,14155000000.0,4784000000.0,3102000000.0,1.63,2078000000.0
CTAS,['Industrials'],123,Cintas,"0,0015","222,51",Cintas Corporation,82298615022.0,10340181000.0,2359726000.0,1812281000.0,4.4,1780993000.0
CTRA,['Energy'],390,Coterra,"0,0003","23,95",Coterra Energy Inc.,18185625533.0,6623000000.0,2063000000.0,1576000000.0,2.09,1492000000.0
CTSH,['Technology'],269,Cognizant,"0,0006","69,51",Cognizant Technology Solutions Corporation,32712759860.0,20486000000.0,3159000000.0,2436000000.0,4.92,2352000000.0
CTVA,['Public Services'],208,Corteva,"0,0008","71,83","Corteva, Inc.",46239919000.0,17177000000.0,2227000000.0,1401000000.0,2.06,2594000000.0
CVS,"['Healthcare', 'Public Services']",127,CVS Health,"0,0015","66,7",CVS Health Corporation,96101089434.0,386641000000.0,8955000000.0,4531000000.0,3.59,4780000000.0
CVX,['Energy'],26,Chevron Corporation,"0,0054","154,9",Chevron Corporation,322693951740.0,195327000000.0,23127000000.0,13716000000.0,7.77,24578000000.0
CZR,['Industrials'],502,Caesars Entertainment,"0,0001","25,3","Caesars Entertainment, Inc.",5624091215.0,11374000000.0,2327000000.0,-195000000.0,-0.92,622000000.0
D,"['Energy', 'Public Services']",199,Dominion Energy,"0,0009","61,11","Dominion Energy, Inc.",51487650596.0,15227000000.0,3928000000.0,2284000000.0,2.64,-8088000000.0
DAL,['Industrials'],248,Delta Air Lines,"0,0007","58,7","Delta Air Lines, Inc.",37348648594.0,61924000000.0,5785000000.0,4485000000.0,6.9,2332000000.0
DASH,['Technology'],100,DoorDash,"0,0018","249,12","DoorDash, Inc.",112125820731.0,11895000000.0,542000000.0,781000000.0,1.8,1713000000.0
